episode,Multi-Agent_GAT_DT_50_agents_reward,Multi-Agent_GAT_DT_50_agents_path_length,Multi-Agent_GAT_DT_50_agents_jammed_steps,Multi-Agent_GAT_DT_50_agents_latency,GAT_Baseline_4_features_reward,GAT_Baseline_4_features_path_length,GAT_Baseline_4_features_jammed_steps,GAT_Baseline_4_features_latency
1783,0.9696061075415396,3,1,0.7350066579745077,0.5041333130195456,4,0,0.9819089351487011
1784,1.2586647022234683,2,0,0.4742392845847809,1.31,1,0,0.2685986455279032
1785,-0.2506041516026636,6,0,1.3977275331307983,1.1894664820346703,2,0,0.44365024805097153
1786,-1.5497378700820381,14,1,3.3133166995974492,0.9317876591509592,3,1,0.7177057025652984
1787,0.7947239651289439,2,1,0.5796202014989341,2.216704689931796,5,0,1.2747334427545285
1788,0.5008729395472354,3,0,0.6680021640994014,-2.2617760637741817,14,0,3.4993743162652104
1789,0.7426016240506343,2,1,0.4511336779074056,1.491229296168587,2,0,0.4463485960401625
1790,-2.353785174945704,9,3,2.096151210418463,0.12449313852992816,5,1,1.1292253117938615
1791,1.5888560744185387,3,0,0.6439123295666068,-316.9605874446347,500,250,119.6891993689633
1792,-4.995685362963158,12,6,2.9677202703702834,1.6605209088770096,4,0,0.9010765421957592
1793,1.2574112290893948,2,0,0.48762872090348425,1.538483803451051,2,0,0.45204859130438
1794,0.3478679377203985,8,0,2.0339685772999547,-191.5538033108928,500,0,116.88155602017679
1795,1.5560988591996538,3,0,0.8098027230316911,1.2580019345025089,2,0,0.49774011419268105
1796,1.2334091598496844,2,0,0.47352581087870205,1.31,1,0,0.22471229796027592
1797,1.01,1,0,0.2573454896971421,-0.060968811459745975,6,2,1.4675007936942068
1798,1.31,1,0,0.22323502533783296,0.9691542350054156,4,1,0.9143907732827059
1799,1.4372235107175138,3,0,0.7262323943944144,0.7614415426228173,2,1,0.5016928124962343
1800,0.987726821028041,3,1,0.7279715557200712,1.5611061532958421,2,0,0.5007578428914615
1801,-0.2304294867936959,7,0,1.7595105508643922,-27.389768367436364,80,2,18.329324758047786
1802,-0.3495609717689354,6,0,1.3946880732232305,1.8180694135393298,4,0,1.1004491925333824
1803,-0.7196683989886945,4,2,1.0301070403729016,-0.7087311980146829,4,0,1.0597795994465558
1804,0.07250231130583595,8,0,1.8935769689087603,-53.04916363619066,147,0,38.89915814750696
1805,1.4027378749253328,3,0,0.6599453466370191,0.25625128487452253,3,0,0.7351287789651825
