episode,Multi-Agent_GCN_DT_50_agents_reward,Multi-Agent_GCN_DT_50_agents_path_length,Multi-Agent_GCN_DT_50_agents_jammed_steps,Multi-Agent_GCN_DT_50_agents_latency,GCN_Baseline_4_features_reward,GCN_Baseline_4_features_path_length,GCN_Baseline_4_features_jammed_steps,GCN_Baseline_4_features_latency
31,-61.43828793028191,131,24,32.03312442525513,-0.30791241871400343,6,0,1.3333465889098184
32,-57.18898208933747,108,29,25.01844221673129,-2.0098470867524627,8,2,1.8463786228439352
33,-36.31836683945667,97,0,23.742779782556266,-96.49812605568114,259,0,63.98252423919484
34,-6.305060805571247,16,4,3.8601883475877137,1.536399414308059,2,0,0.46334957443794705
35,-20.520033545912177,45,14,10.65669617811264,1.40484825753657,3,0,0.7588233649105944
36,-46.567059559547495,114,0,27.602166140782405,1.252346399157367,2,0,0.46163943107447364
37,-27.754707965176895,71,0,17.139310732571225,-53.367615639137924,147,0,34.15867195059432
38,-31.252962428301938,83,0,19.53199134512527,-244.58873915713642,500,115,126.8367142953854
39,-0.7254465142382744,8,0,1.8936346431485664,-5.579203598689921,12,6,2.8495200860151737
40,-7.709230369926315,23,0,5.416982105227197,-184.3527046772933,500,0,119.9564831827477
41,-22.33162448334756,62,0,14.411897136386623,1.7160389633983293,4,0,1.025707525634485
42,-44.71158802006711,120,0,28.09009969024618,-2.8867769137562824,16,0,3.926665093284226
43,-26.261692145327682,47,15,11.314613067088954,-34.75231838429345,83,18,19.93524606827322
44,-126.8685127931815,244,66,57.3182138262037,-340.8375124781739,500,251,113.22730584364031
45,-65.03123975736864,123,34,29.457072058775644,-0.05404155600515481,3,3,0.6744168023336459
46,-8.394474636587434,24,3,5.849305075899699,-1.8006707633815189,13,0,2.9507146895977394
47,-1.4083052465094295,10,1,2.5393101824619624,1.5233015012845295,2,0,0.451869511223573
48,-9.820872871980928,28,0,6.680702910350264,-188.56805883881032,304,159,79.84231034535655
49,-4.4779260918865935,15,4,3.6861679797450293,-19.921276291224526,58,1,15.745443047601734
50,-21.452608215140813,60,0,14.377513704556659,1.0337105554174006,5,0,1.2441359150648532
51,-34.612387716832124,93,0,22.646246810528872,1.3095201712631832,3,0,0.7484722176372243
52,-5.035332908027669,12,4,3.001494777677408,-14.603458675765008,42,1,9.330985565193602
53,-55.886371236757235,98,35,22.912997844859525,1.7339992742662202,3,0,0.6678126305321329
54,-22.014948717143962,57,0,13.827608268239132,-8.074250857333494,29,0,7.563181482255513
55,-53.66404578530301,103,27,25.231350474805378,-56.39232642713173,155,0,37.84667072607599
56,-9.98591135868568,33,0,8.816427116016557,-11.579672949665149,37,0,9.185291950766256
57,-97.61671202999328,199,31,47.57231059280782,-187.90525286475838,500,0,125.48260370690045
58,0.830191036132297,4,0,0.9006687973139362,-32.21929834461067,89,0,22.926436359711257
59,-22.37789054985332,59,0,14.068896313482766,1.230877964631843,3,0,0.6523130153577482
60,-119.17508610887305,238,48,56.055112286977746,1.0031268288745985,1,0,0.22642086260529984
61,-8.476541281198442,17,6,3.8596116501223108,-72.31665039709067,250,0,60.40061411697214
62,-19.646096559764363,55,0,13.7284834730458,-126.1627683038543,309,0,74.51507800867726
63,-25.183865426527,64,0,14.930000945766121,-22.78312688329573,67,1,16.490720439916988
64,-29.903787369637065,58,14,13.971247934321969,0.6302494068832225,4,2,0.8803330035140303
65,-1.7821072964583016,11,0,2.6258565291426557,0.9752873752733899,4,1,0.9640481303576025
66,-69.73189191715264,119,38,27.013048621793384,1.7590554488863877,3,0,0.700012714015476
67,-7.739523712042347,27,0,6.639915021943597,1.01,1,0,0.2604872490691752
68,-9.042059572549633,28,0,6.753075464770581,-48.230547994186715,121,0,29.94737882648454
